Time;Wind;PV
01-01-19 00:00;0.004;0
01-01-19 01:00;0.005;0
01-01-19 02:00;0.014;0
01-01-19 03:00;0.034;0
01-01-19 04:00;0.01;0
01-01-19 05:00;0.008;0
01-01-19 06:00;0.009;0
01-01-19 07:00;0.009;0.044
01-01-19 08:00;0.007;0.243
01-01-19 09:00;0.002;0.453
01-01-19 10:00;0.003;0.568
01-01-19 11:00;0.002;0.631
01-01-19 12:00;0.003;0.645
01-01-19 13:00;0.021;0.601
01-01-19 14:00;0.068;0.526
01-01-19 15:00;0.099;0.404
01-01-19 16:00;0.112;0.203
01-01-19 17:00;0.18;0.01
01-01-19 18:00;0.244;0
01-01-19 19:00;0.229;0
01-01-19 20:00;0.18;0
01-01-19 21:00;0.168;0
01-01-19 22:00;0.146;0
01-01-19 23:00;0.127;0
02-01-19 00:00;0.13;0
02-01-19 01:00;0.13;0
02-01-19 02:00;0.134;0
02-01-19 03:00;0.129;0
02-01-19 04:00;0.118;0
02-01-19 05:00;0.131;0
02-01-19 06:00;0.155;0
02-01-19 07:00;0.169;0.068
02-01-19 08:00;0.157;0.291
02-01-19 09:00;0.157;0.469
02-01-19 10:00;0.126;0.576
02-01-19 11:00;0.055;0.623
02-01-19 12:00;0.003;0.517
02-01-19 13:00;0;0.432
02-01-19 14:00;0.005;0.386
02-01-19 15:00;0.026;0.234
02-01-19 16:00;0.066;0.112
02-01-19 17:00;0.147;0.011
02-01-19 18:00;0.208;0
02-01-19 19:00;0.239;0
02-01-19 20:00;0.238;0
02-01-19 21:00;0.24;0
02-01-19 22:00;0.257;0
02-01-19 23:00;0.269;0
03-01-19 00:00;0.271;0
03-01-19 01:00;0.274;0
03-01-19 02:00;0.264;0
03-01-19 03:00;0.226;0
03-01-19 04:00;0.193;0
03-01-19 05:00;0.186;0
03-01-19 06:00;0.202;0
03-01-19 07:00;0.242;0.067
03-01-19 08:00;0.23;0.286
03-01-19 09:00;0.167;0.457
03-01-19 10:00;0.194;0.562
03-01-19 11:00;0.221;0.617
03-01-19 12:00;0.226;0.642
03-01-19 13:00;0.214;0.628
03-01-19 14:00;0.167;0.533
03-01-19 15:00;0.115;0.422
03-01-19 16:00;0.072;0.227
03-01-19 17:00;0.033;0.02
03-01-19 18:00;0.013;0
03-01-19 19:00;0.005;0
03-01-19 20:00;0.003;0
03-01-19 21:00;0.003;0
03-01-19 22:00;0.004;0
03-01-19 23:00;0.004;0
04-01-19 00:00;0.004;0
04-01-19 01:00;0.004;0
04-01-19 02:00;0.007;0
04-01-19 03:00;0.016;0
04-01-19 04:00;0.033;0
04-01-19 05:00;0.061;0
04-01-19 06:00;0.099;0
04-01-19 07:00;0.142;0.031
04-01-19 08:00;0.133;0.159
04-01-19 09:00;0.107;0.342
04-01-19 10:00;0.136;0.509
