Time,COP
01/01 00:00:00,4.849
01/01 01:00:00,4.859
01/01 02:00:00,4.859
01/01 03:00:00,4.828
01/01 04:00:00,4.767
01/01 05:00:00,4.676
01/01 06:00:00,4.636
01/01 07:00:00,4.576
01/01 08:00:00,4.476
01/01 09:00:00,4.467
01/01 10:00:00,4.457
01/01 11:00:00,4.476
01/01 12:00:00,4.496
01/01 13:00:00,4.526
01/01 14:00:00,4.556
01/01 15:00:00,4.606
01/01 16:00:00,4.556
01/01 17:00:00,4.606
01/01 18:00:00,4.636
01/01 19:00:00,4.686
01/01 20:00:00,4.716
01/01 21:00:00,4.716
01/01 22:00:00,4.726
01/01 23:00:00,4.726
01/02 00:00:00,4.716
01/02 01:00:00,4.787
01/02 02:00:00,4.808
01/02 03:00:00,4.828
01/02 04:00:00,4.767
01/02 05:00:00,4.656
01/02 06:00:00,4.596
01/02 07:00:00,4.496
01/02 08:00:00,4.486
01/02 09:00:00,4.417
01/02 10:00:00,4.398
01/02 11:00:00,4.378
01/02 12:00:00,4.388
01/02 13:00:00,4.457
01/02 14:00:00,4.506
01/02 15:00:00,4.496
01/02 16:00:00,4.536
01/02 17:00:00,4.636
01/02 18:00:00,4.726
01/02 19:00:00,4.787
01/02 20:00:00,4.828
01/02 21:00:00,4.859
01/02 22:00:00,4.88
01/02 23:00:00,4.911
01/03 00:00:00,4.973
01/03 01:00:00,5.057
01/03 02:00:00,5.1
01/03 03:00:00,5.11
01/03 04:00:00,5.057
01/03 05:00:00,4.921
01/03 06:00:00,4.767
01/03 07:00:00,4.646
01/03 08:00:00,4.586
01/03 09:00:00,4.476
01/03 10:00:00,4.437
01/03 11:00:00,4.506
01/03 12:00:00,4.596
01/03 13:00:00,4.606
01/03 14:00:00,4.636
01/03 15:00:00,4.686
01/03 16:00:00,4.737
01/03 17:00:00,4.859
01/03 18:00:00,5.047
01/03 19:00:00,5.174
01/03 20:00:00,5.271
01/03 21:00:00,5.38
01/03 22:00:00,5.469
01/03 23:00:00,5.525
01/04 00:00:00,5.603
01/04 01:00:00,5.729
01/04 02:00:00,5.857
01/04 03:00:00,5.798
01/04 04:00:00,5.775
01/04 05:00:00,5.569
01/04 06:00:00,5.424
01/04 07:00:00,5.015
01/04 08:00:00,4.656
01/04 09:00:00,4.437
01/04 10:00:00,4.195
01/04 11:00:00,4.099
01/04 12:00:00,4.195
01/04 13:00:00,4.408
01/04 14:00:00,4.516
01/04 15:00:00,4.566
01/04 16:00:00,4.666
01/04 17:00:00,4.839
01/04 18:00:00,5.005
01/04 19:00:00,5.163
01/04 20:00:00,5.369
01/04 21:00:00,5.458
01/04 22:00:00,5.592
01/04 23:00:00,5.752
01/05 00:00:00,5.857
01/05 01:00:00,6.023
01/05 02:00:00,6.083
01/05 03:00:00,6.047
01/05 04:00:00,5.987
01/05 05:00:00,5.869
01/05 06:00:00,5.502
01/05 07:00:00,5.068
01/05 08:00:00,4.676
01/05 09:00:00,4.369
01/05 10:00:00,4.109
01/05 11:00:00,3.911
01/05 12:00:00,3.865
01/05 13:00:00,4.08
01/05 14:00:00,4.156
01/05 15:00:00,4.166
01/05 16:00:00,4.223
01/05 17:00:00,4.447
01/05 18:00:00,4.686
01/05 19:00:00,4.88
01/05 20:00:00,5.068
01/05 21:00:00,5.228
01/05 22:00:00,5.38
01/05 23:00:00,5.525
01/06 00:00:00,5.775
01/06 01:00:00,5.963
01/06 02:00:00,6.095
01/06 03:00:00,6.292
01/06 04:00:00,6.168
01/06 05:00:00,5.939
01/06 06:00:00,5.603
01/06 07:00:00,5.326
01/06 08:00:00,4.777
01/06 09:00:00,4.398
01/06 10:00:00,4.061
01/06 11:00:00,3.8
01/06 12:00:00,3.772
01/06 13:00:00,3.977
01/06 14:00:00,4.156
01/06 15:00:00,4.223
01/06 16:00:00,4.272
01/06 17:00:00,4.457
01/06 18:00:00,4.576
01/06 19:00:00,4.798
01/06 20:00:00,4.994
01/06 21:00:00,5.153
01/06 22:00:00,5.293
01/06 23:00:00,5.458
01/07 00:00:00,5.615
01/07 01:00:00,5.787
01/07 02:00:00,6.011
01/07 03:00:00,6.144
01/07 04:00:00,5.987
01/07 05:00:00,5.857
01/07 06:00:00,5.558
01/07 07:00:00,5.249
01/07 08:00:00,4.646
01/07 09:00:00,4.195
01/07 10:00:00,4.156
01/07 11:00:00,3.865
01/07 12:00:00,3.855
01/07 13:00:00,3.977
01/07 14:00:00,4.223
01/07 15:00:00,4.408
01/07 16:00:00,4.516
01/07 17:00:00,4.686
01/07 18:00:00,4.859
01/07 19:00:00,4.994
01/07 20:00:00,5.206
01/07 21:00:00,5.271
01/07 22:00:00,5.402
01/07 23:00:00,5.502
01/08 00:00:00,5.81
01/08 01:00:00,6.205
01/08 02:00:00,6.28
01/08 03:00:00,6.651
01/08 04:00:00,6.355
01/08 05:00:00,6.267
01/08 06:00:00,5.963
01/08 07:00:00,5.391
01/08 08:00:00,4.818
01/08 09:00:00,4.175
01/08 10:00:00,3.809
01/08 11:00:00,3.635
01/08 12:00:00,3.581
01/08 13:00:00,3.662
01/08 14:00:00,4.071
01/08 15:00:00,4.272
01/08 16:00:00,4.437
01/08 17:00:00,4.646
01/08 18:00:00,4.828
01/08 19:00:00,5.015
01/08 20:00:00,5.304
01/08 21:00:00,5.435
01/08 22:00:00,5.637
01/08 23:00:00,5.88
01/09 00:00:00,6.035
01/09 01:00:00,6.443
01/09 02:00:00,6.677
01/09 03:00:00,6.743
01/09 04:00:00,6.218
01/09 05:00:00,6.035
01/09 06:00:00,5.927
01/09 07:00:00,5.525
01/09 08:00:00,5.047
01/09 09:00:00,4.737
01/09 10:00:00,4.467
01/09 11:00:00,4.33
01/09 12:00:00,4.272
01/09 13:00:00,4.427
01/09 14:00:00,4.546
01/09 15:00:00,4.666
01/09 16:00:00,4.808
01/09 17:00:00,4.921
01/09 18:00:00,5.036
01/09 19:00:00,5.1
01/09 20:00:00,5.142
01/09 21:00:00,5.174
01/09 22:00:00,5.282
01/09 23:00:00,5.447
01/10 00:00:00,5.569
01/10 01:00:00,5.581
01/10 02:00:00,5.569
01/10 03:00:00,5.491
01/10 04:00:00,5.369
01/10 05:00:00,5.196
01/10 06:00:00,5.11
01/10 07:00:00,4.901
01/10 08:00:00,4.716
01/10 09:00:00,4.546
01/10 10:00:00,4.156
01/10 11:00:00,3.754
01/10 12:00:00,3.662
01/10 13:00:00,3.745
01/10 14:00:00,4.118
01/10 15:00:00,4.32
01/10 16:00:00,4.526
01/10 17:00:00,4.676
01/10 18:00:00,4.89
01/10 19:00:00,4.952
01/10 20:00:00,4.901
01/10 21:00:00,4.88
01/10 22:00:00,4.87
01/10 23:00:00,4.88
01/11 00:00:00,4.911
01/11 01:00:00,5.005
01/11 02:00:00,5.068
01/11 03:00:00,5.1
01/11 04:00:00,5.078
01/11 05:00:00,5.057
01/11 06:00:00,4.963
01/11 07:00:00,4.716
01/11 08:00:00,4.486
01/11 09:00:00,4.262
01/11 10:00:00,4.185
01/11 11:00:00,4.166
01/11 12:00:00,4.147
01/11 13:00:00,4.223
01/11 14:00:00,4.349
01/11 15:00:00,4.476
01/11 16:00:00,4.546
01/11 17:00:00,4.626
01/11 18:00:00,4.686
01/11 19:00:00,4.726
01/11 20:00:00,4.767
01/11 21:00:00,4.798
01/11 22:00:00,4.787
01/11 23:00:00,4.777
01/12 00:00:00,4.777
01/12 01:00:00,4.798
01/12 02:00:00,4.839
01/12 03:00:00,4.849
01/12 04:00:00,4.818
01/12 05:00:00,4.747
01/12 06:00:00,4.656
01/12 07:00:00,4.596
01/12 08:00:00,4.496
01/12 09:00:00,4.398
01/12 10:00:00,4.369
01/12 11:00:00,4.398
01/12 12:00:00,4.467
01/12 13:00:00,4.506
01/12 14:00:00,4.536
01/12 15:00:00,4.706
01/12 16:00:00,4.606
01/12 17:00:00,4.636
01/12 18:00:00,4.636
01/12 19:00:00,4.716
01/12 20:00:00,4.798
01/12 21:00:00,4.818
01/12 22:00:00,4.849
01/12 23:00:00,4.859
01/13 00:00:00,4.88
01/13 01:00:00,4.901
01/13 02:00:00,4.973
01/13 03:00:00,4.973
01/13 04:00:00,4.932
01/13 05:00:00,4.849
01/13 06:00:00,4.767
01/13 07:00:00,4.636
01/13 08:00:00,4.526
01/13 09:00:00,4.359
01/13 10:00:00,4.31
01/13 11:00:00,4.359
01/13 12:00:00,4.427
01/13 13:00:00,4.457
01/13 14:00:00,4.496
01/13 15:00:00,4.636
01/13 16:00:00,4.646
01/13 17:00:00,4.757
01/13 18:00:00,4.859
01/13 19:00:00,4.963
01/13 20:00:00,5.078
01/13 21:00:00,5.206
01/13 22:00:00,5.347
01/13 23:00:00,5.502
01/14 00:00:00,5.615
01/14 01:00:00,5.764
01/14 02:00:00,5.904
01/14 03:00:00,5.857
01/14 04:00:00,5.695
01/14 05:00:00,5.513
01/14 06:00:00,5.413
01/14 07:00:00,5.174
01/14 08:00:00,4.952
01/14 09:00:00,4.849
01/14 10:00:00,4.656
01/14 11:00:00,4.467
01/14 12:00:00,4.417
01/14 13:00:00,4.437
01/14 14:00:00,4.546
01/14 15:00:00,4.646
01/14 16:00:00,4.757
01/14 17:00:00,4.911
01/14 18:00:00,5.1
01/14 19:00:00,5.163
01/14 20:00:00,5.206
01/14 21:00:00,5.239
01/14 22:00:00,5.228
01/14 23:00:00,5.217
01/15 00:00:00,5.26
01/15 01:00:00,5.315
01/15 02:00:00,5.326
01/15 03:00:00,5.217
01/15 04:00:00,5.047
01/15 05:00:00,4.88
01/15 06:00:00,4.726
01/15 07:00:00,4.586
01/15 08:00:00,4.496
01/15 09:00:00,4.31
01/15 10:00:00,4.252
01/15 11:00:00,4.204
01/15 12:00:00,4.233
01/15 13:00:00,4.31
01/15 14:00:00,4.447
01/15 15:00:00,4.447
01/15 16:00:00,4.526
01/15 17:00:00,4.696
01/15 18:00:00,4.808
01/15 19:00:00,4.921
01/15 20:00:00,4.994
01/15 21:00:00,5.121
01/15 22:00:00,5.282
01/15 23:00:00,5.424
01/16 00:00:00,5.558
01/16 01:00:00,5.729
01/16 02:00:00,5.822
01/16 03:00:00,5.798
01/16 04:00:00,5.717
01/16 05:00:00,5.48
01/16 06:00:00,5.206
01/16 07:00:00,4.88
01/16 08:00:00,4.726
01/16 09:00:00,4.417
01/16 10:00:00,4.32
01/16 11:00:00,4.252
01/16 12:00:00,4.291
01/16 13:00:00,4.369
01/16 14:00:00,4.516
01/16 15:00:00,4.536
01/16 16:00:00,4.626
01/16 17:00:00,4.798
01/16 18:00:00,4.942
01/16 19:00:00,5.068
01/16 20:00:00,5.217
01/16 21:00:00,5.26
01/16 22:00:00,5.38
01/16 23:00:00,5.48
01/17 00:00:00,5.637
01/17 01:00:00,5.764
01/17 02:00:00,5.857
01/17 03:00:00,5.822
